Source Code (sc),Language (slg),Source Type (fmt),Source Name (sn),Source Name - Native Language (asn),Directory Name (dn),Status Name (std),Discontinued Date (dsd),Type of  Coverage - Article Level (lva),Type of  Coverage - Source Level (lvs),Online Date (od),First Issue Online (fio),Description - English Language (de),Description - Native Language (dea),Frequency (frp),Online Availability Target (lag),Update Schedule (upn),External Notes (ntx),Pseudo-IP (pip),Source Web Site Address (url),Publisher Code (pbc),Publisher (pub),Circulation (cir),Circulation Source Code (cis),Circulation Source Name (csn),Primary Source Type Code (pst),Primary Source Type (psd),Source Family Group Code (sfg),Region of Origin Group Code (roo),Most Recent Issue Online (mri)
AMEDEN,English,article,A24 Media,A24 Media,A24 Media,Discontinued,20120425.0,Full Text,Full Coverage,20100620,20100620,"A24 Media is an online delivery site providing African news, economics, politics, culture, sports and lifestyle information from journalists, African broadcasters and NGOs from around the continent. Country of origin: Kenya","A24 Media is an online delivery site providing African news, economics, politics, culture, sports and lifestyle information from journalists, African broadcasters and NGOs from around the continent. Country of origin: Kenya",Daily,Discontinued,Not available,The provider has stopped abstracting this source.,ALBWBA,http://www.a24media.com,AMEDIA,A24 Media,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20120425
LATUEL,French,article,L' Actuel International,L' Actuel International,L' Actuel International (French Language),Active,,Full Text,Full Coverage,20191213,20190630,"L' Actuel International is a French monthly publication covering all major national and international news, with a specific focus on Algeria's economy including business sector, companies and financial markets. Country of origin: Algeria","L’Actuel International est une publication mensuelle française, couvrant les principales actualités nationales et internationales, avec un accent particulier donné à l'économie algérienne, y compris dans le secteur des entreprises et des marchés financiers. Pays d'origine: Algérie",Monthly,As available,As available,No editions available between Jul and Dec 2019.,ASINET2,http://www.actuel-dz.com/,PBLAIN,L' Actuel International,,,,MAGWEB,"Web Sites: Magazines, Journals & Newsletters",,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20201231
ADFORT,English,article,Addis Fortune,Addis Fortune,Addis Fortune (Ethiopia),Active,,Full Text,Full Coverage,20150408,20150309,"Weekly English language business newspaper, published by a media company dedicated to promote the development of the private sector in Ethiopia and its economic integration to the regional economies. Country of origin: Ethiopia","Weekly English language business newspaper, published by a media company dedicated to promote the development of the private sector in Ethiopia and its economic integration to the regional economies. Country of origin: Ethiopia",Weekly,3 days after publication date,Sunday,Does not include tables,ALBWBA,http://www.addisfortune.net,PBINDM,Independent News & Media Plc,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Ethiopia (ETHPA),20210117
ADDISS,English,article,Addis Standard,Addis Standard,Addis Standard,Active,,Full Text,Full Coverage,20191213,20191130,Addis Standard is a monthly magazine on current socio-political and socio-economical aspects of both domestic and international affairs. Country of origin: Ethiopia,Addis Standard is a monthly magazine on current socio-political and socio-economical aspects of both domestic and international affairs. Country of origin: Ethiopia,Monthly,Same day as publication date,As available,,ASINET2,http://addisstandard.com/,PBJAKENN,JAKENN Publishing P.L.C.,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); East Africa (EAFR); Ethiopia (ETHPA),20200831
ADVOCT,English,article,The Advocate,The Advocate,The Advocate (Nigeria),Active,,Full Text,Full Coverage,20151112,20151112,A national newspaper providing general news. Country of origin: Nigeria,A national newspaper providing general news. Country of origin: Nigeria,Weekly,Same day as publication date,Friday,There is a data gap between 21 Dec 2019 and 14 Feb 2020.,ASINET2,http://theadvocatengr.com,PBADNE,The Advocate News,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
ARTEC,French,article,AE Architecture et Environnement du Maroc,AE Architecture et Environnement du Maroc,AE Architecture et Environnement du Maroc (French Language),Active,,Full Text,Full Coverage,20200424,20200406,AE Architecture et Environnement du Maroc is a quarterly French language magazine for the architecture and construction sector in Morocco. Country of origin: Morocco,AE Architecture et Environnement du Maroc est une revue trimestrielle marocaine pour les professionnels de l'architecture et de la construction durable. Pays d'origine: Maroc,Quarterly,Same day as publication date,As available,,,http://www.archimedia.ma/publication-archimedia/architecture-et-environnement-au-maroc,PBARCH,Archimedia Group,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210121
AFASEN,English,article,Africa Assets,Africa Assets,Africa Assets,Discontinued,20200210.0,Full Text,Full Coverage,20130515,20130420,"Founded in 2011, Africa Assets is a web site providing news, analysis, commentary and data on private equity and venture capital in sub-Saharan Africa. Country of origin: Kenya","Founded in 2011, Africa Assets is a web site providing news, analysis, commentary and data on private equity and venture capital in sub-Saharan Africa. Country of origin: Kenya",Irregular,Discontinued,Not available,This source has stopped updating.,ABIL,http://www.africa-assets.com,ABIL,Africa Business Insight Limited,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20170615
AFRNNW,English,article,Africa Review,Africa Review,Africa Review,Discontinued,20160118.0,Full Text,Full Coverage,20130327,20120908,"Independent publication published by Nation Media Group and covering the African continent, it informs about politics, culture, economy and technology. Country of origin: Kenya","Independent publication published by Nation Media Group and covering the African continent, it informs about politics, culture, economy and technology. Country of origin: Kenya",Daily,Discontinued,Not available,The provider ceased production of this title.,NMGL,http://www.africareview.com,NMGL,Nation Media Group Limited,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20150910
AFHNEW,French,article,AfricaHotNews.com,AfricaHotNews.com,AfricaHotNews.com (French Language),Active,,Full Text,Full Coverage,20191213,20191211,"AfricaHotNews.com is an online newspaper that provides wide range of information on policy, society, economy and sport from African regions. Country of origin: Togo","AfricaHotNews.com est un quotidien en ligne portant sur la politique, la société, l'économie et le sport dans les régions africaines. Pays d'origine: Togo",Monday-Saturday,1 day after publication date,5 p.m. (GMT),| The editions from 11 August - 23 September 2020 are not available. |,ASINET2,http://www.africahotnews.com/,PBEXINM,Exin Media,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Togo (TOGO); West Africa (WAFR),20210121
MEWAEN,English,article,African Eye News Service,African Eye News Service,African Eye News Service,Discontinued,20170627.0,Full Text,Full Coverage,20150415,20140605,Website providing general and political news from Africa. Country of origin: South Africa,Website providing general and political news from Africa. Country of origin: South Africa,Sunday-Thursday,Discontinued,Not available,The source ceased publication.,ASINET2,http://africaneyenews.com/,AFRENS,African Eye News Service,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20160208
